by,descendants,id,kids,score,time,title,type,url,text
excsn,1475.0,40286029,"[40289185, 40286118, 40286128, 40286654, 40287933, 40294445, 40287384, 40286156, 40286253, 40287857, 40286556, 40292404, 40286346, 40290505, 40286167, 40286142, 40291117, 40291069, 40286831, 40286161, 40286415, 40294371, 40286268, 40294009, 40291904, 40294195, 40292574, 40288136, 40289929, 40286088, 40288921, 40288241, 40286087, 40286120, 40286710, 40292919, 40288029, 40287296, 40293261, 40287156, 40293639, 40286500, 40290225, 40292806, 40286644, 40292840, 40287080, 40292982, 40290247, 40287903, 40286104, 40286291, 40290911, 40290912, 40286615, 40286605, 40291043, 40288346, 40291883, 40288661, 40291660, 40290875, 40286757, 40289748, 40286098, 40292658, 40286358, 40291701, 40286728, 40286274, 40287003, 40290028, 40287120, 40292066, 40292616, 40291146, 40287917, 40286294, 40289627, 40288662, 40286640, 40286872, 40288294, 40286153, 40286612, 40286181, 40286727, 40288677, 40292714, 40288874, 40286577, 40286441, 40292135, 40288717, 40286135, 40287419, 40287228, 40286946, 40286497, 40286129, 40286300, 40286148, 40287815, 40286108, 40292367, 40292405, 40290909, 40286437, 40286472, 40287181, 40289745, 40286289]",1227,1715092652,Apple introduces M4 chip,story,https://www.apple.com/newsroom/2024/05/apple-introduces-m4-chip/,
vsgherzi,26.0,40293943,"[40294627, 40294624, 40294717, 40294458, 40294444, 40294486, 40294545, 40294700, 40294476, 40294621, 40294352]",49,1715137342,Why use ECC? (2015),story,https://danluu.com/why-ecc/,
iancmceachern,2.0,40294630,[40294752],45,1715145904,U.S. Rules Apple Illegally Interrogated Staff and Confiscated Union Flyers,story,https://www.forbes.com/sites/antoniopequenoiv/2024/05/06/us-labor-board-rules-apple-illegally-interrogated-staff-and-confiscated-union-flyers/,
metadat,36.0,40292181,"[40293100, 40294675, 40292569, 40292220, 40293666, 40293116, 40294519, 40294301, 40294673, 40294390, 40292189, 40293476]",172,1715120105,Decker: A reincarnation of HyperCard with 1-bit graphics,story,https://www.beyondloom.com/decker/index.html,
sschueller,214.0,40287020,"[40287570, 40287471, 40287440, 40287836, 40289533, 40288949, 40291939, 40287407, 40289709, 40293124, 40289825, 40292276, 40291080, 40287549, 40294253, 40290746, 40291325, 40288071, 40293197, 40287406, 40289281, 40294256, 40291306, 40288279, 40289195, 40287603, 40290778, 40288237, 40289931, 40290676, 40292615, 40288088, 40287677, 40288403, 40292767, 40289090, 40289189, 40288518, 40287817, 40290414, 40290754, 40287755, 40289486, 40289860, 40288960, 40290446, 40287945]",611,1715096165,Road resurfacing during the daytime without stopping traffic [video],story,https://www.youtube.com/watch?v=ymyIEGRw4-U,
matan-h,0.0,40278874,,16,1715025738,Common Google XSS,story,https://matan-h.com/common-google-xss,
ibylich,18.0,40276112,"[40294373, 40294119, 40294596, 40294197, 40294016, 40276113]",59,1715011151,Arena-based parsers,story,https://iliabylich.github.io/arena-based-parsers/,
kangmh,7.0,40293974,"[40294728, 40294699, 40294226, 40294696]",25,1715137769,Show HN: Serverless collaborative notion-level note editor using CRDT in GO,story,https://github.com/notebox/nbfm,
lukhas,28.0,40291598,"[40294030, 40293490, 40293103, 40293119, 40292911, 40293748, 40293426, 40293767]",141,1715116596,IBM Granite: A Family of Open Foundation Models for Code Intelligence,story,https://github.com/ibm-granite/granite-code-models,
todsacerdoti,0.0,40293505,,43,1715132329,Needle: A DFA Based Regex Library That Compiles to JVM ByteCode,story,https://justinblank.com/experiments/needle.html,
leduyquang753,119.0,40286734,"[40287845, 40287547, 40288190, 40287592, 40293775, 40287812, 40292720, 40293345, 40290073, 40291712, 40287739, 40293799, 40291286, 40287718, 40291816, 40290283, 40288562, 40289684, 40288912]",282,1715095068,"LPCAMM2 is a modular, repairable, upgradeable memory standard for laptops",story,https://www.ifixit.com/News/95078/lpcamm2-memory-is-finally-here,
1970-01-01,88.0,40289323,"[40289817, 40290050, 40290369, 40291484, 40289747, 40294144, 40293646, 40290816, 40293137, 40289642, 40290636, 40293987, 40290381, 40290107, 40293603, 40292568, 40290500]",171,1715105189,The Grateful Dead's Wall of Sound,story,https://audioacademy.in/the-grateful-deads-wall-of-sound/,
pseudolus,518.0,40285211,"[40290252, 40285435, 40287707, 40288900, 40285681, 40287534, 40293024, 40294608, 40285449, 40294158, 40294132, 40289031, 40289111, 40292639, 40292468, 40293764, 40292625, 40289320, 40289586, 40285525, 40290323, 40289058, 40288340, 40291300, 40290156, 40289879, 40285630, 40289485, 40285424, 40285536, 40285463, 40287682, 40291033, 40290125, 40288926, 40289137, 40288081, 40292394, 40285903, 40285828, 40285513, 40285369, 40291901, 40287389, 40288549, 40288589, 40285526, 40288701, 40292990]",263,1715088589,Can turning office towers into apartments save downtowns?,story,https://www.newyorker.com/magazine/2024/05/06/can-turning-office-towers-into-apartments-save-downtowns,
Zezima,8.0,40286632,"[40291355, 40294279, 40294106, 40289740]",197,1715094776,SecureDrop Protocol,story,https://securedrop.org/news/introducing-securedrop-protocol/,
greenie_beans,14.0,40293801,"[40294862, 40294815, 40294491, 40294750, 40294642, 40294733, 40294754, 40294516, 40294582, 40294712]",25,1715135550,No one will read your book,story,https://www.elysian.press/p/publishing-industry-truth,
ople,266.0,40284823,"[40286074, 40286009, 40285897, 40290818, 40289782, 40287380, 40287308, 40292020, 40293108, 40293235, 40285925, 40285944, 40285801, 40293498, 40293530, 40290982, 40288526, 40286348, 40285810, 40287703, 40286222, 40292706, 40286930, 40289993, 40287261, 40285911, 40286046, 40286995, 40286309, 40285890, 40288175, 40292265, 40287894, 40287860, 40289738, 40289543, 40286521, 40287482, 40291177, 40288646, 40291882, 40285953, 40286389, 40289161, 40290020, 40288753, 40288130, 40291933]",419,1715085974,Cold brew coffee in 3 minutes using acoustic cavitation,story,https://www.unsw.edu.au/newsroom/news/2024/05/Ultrasonic_cold_brew_coffee_ready_under_three_minutes,
ulrischa,42.0,40290596,"[40292021, 40292086, 40294623, 40291195, 40290789, 40290996, 40294618, 40291422, 40292200, 40290920]",131,1715110885,ScrapeGraphAI: Web scraping using LLM and direct graph logic,story,https://scrapegraph-doc.onrender.com/,
twelvenmonkeys,35.0,40289120,"[40290638, 40293353, 40290214, 40293852, 40291406, 40294123, 40289661, 40289973, 40293774, 40289878, 40291765, 40290658, 40290042, 40290427, 40289744, 40292540, 40290669, 40290269]",149,1715104221,Show HN: Convert your Containerfile to a bootable OS,story,https://github.com/containers/podman-desktop-extension-bootc,
LorenDB,55.0,40284291,"[40289845, 40289261, 40291313, 40291534, 40288650, 40287757, 40291128, 40290188]",210,1715081048,Hackers discover how to reprogram NES Tetris from within the game,story,https://arstechnica.com/gaming/2024/05/hackers-discover-how-to-reprogram-nes-tetris-from-within-the-game/,
weinzierl,27.0,40282923,"[40290512, 40288072, 40285011, 40291333, 40289264, 40292621, 40290317, 40289020]",180,1715063099,Gradient descent visualization,story,https://github.com/lilipads/gradient_descent_viz,
fanf2,31.0,40273121,"[40294540, 40293110, 40291544, 40293453, 40292536, 40292273, 40293643, 40293040, 40291208, 40293386]",85,1714992123,Conical Slicing: A different angle of 3D printing,story,https://www.cnckitchen.com/blog/conical-slicing-a-different-angle-of-3d-printing,
petethomas,359.0,40269754,"[40289049, 40288381, 40289778, 40294413, 40294403, 40294776, 40290286, 40287833, 40290374, 40291166, 40288630, 40294682, 40288934, 40272706, 40290172, 40290186, 40291640, 40289451, 40292080, 40292249, 40291958, 40293749, 40291683, 40288105, 40292208, 40289431, 40289682, 40290538, 40289885, 40287871, 40290520, 40291365, 40290105, 40291600, 40290837, 40291449, 40290411, 40287685, 40274203, 40290792, 40289362, 40271484, 40288265, 40289345, 40291784, 40293719, 40289114, 40292824, 40288964, 40288067, 40292683, 40273422, 40287965, 40275514, 40288031, 40288607, 40275232, 40288159, 40287617, 40289035, 40289054]",217,1714953452,Book people think they know why 9-year-olds stop reading for fun,story,https://slate.com/culture/2024/05/kids-reading-fun-books-decline-by-nine-crisis.html,
